index,owner,repo,commit_sha,source
182,duongtruongbinh,vnpt-ai,1c899a5f5260c60a8ed5fe39ec3adfef5cf8593e,Own_Extracted_Dataset.xlsx
183,snap-stanford,Biomni,c36e39f9202863bc7b0665563e74e97723862fa5,Own_Extracted_Dataset.xlsx
184,saikiranrallabandi,inframind,64854d0d5d1a824814c7cad69f1c38b6bf00a2cb,Own_Extracted_Dataset.xlsx
185,daekeun-ml,evaluate-llm-on-korean-dataset,02851c9ab5e6b3ccad88bb9f2e0d288d9ec742ef,Own_Extracted_Dataset.xlsx
186,aixplain,aiXplain,6e076b13c813dc6ae56679037bfc5db83386d3ef,Own_Extracted_Dataset.xlsx
187,EverMind-AI,EverMemOS,4814aae8397653cf750c970764eae357c3e8ceb4,Own_Extracted_Dataset.xlsx
188,HKUDS,LightRAG,9562a974d216268021b4027f7be7ec250477fe96,Own_Extracted_Dataset.xlsx
189,microsoft,TinyTroupe,43d951eea015aea09972dc95537c9bbbc74ba207,Own_Extracted_Dataset.xlsx
190,socialfoundations,folktexts,75a5df804d11f45dd442266f0880d7d630f91aaa,Own_Extracted_Dataset.xlsx
191,mims-harvard,ToolUniverse,132458e90eae0d23245caed295dd0bb9518cd240,Own_Extracted_Dataset.xlsx
192,fa8i,Agentify,cd8f88799a29a1b4f84f0036cbb7bad5345fb996,Own_Extracted_Dataset.xlsx
193,DylanLRPollock,Monkey-Head-Project,6b0c9ec5d0a56d3d44693dd97055d90f7fc2aa24,Own_Extracted_Dataset.xlsx
194,FLASK-LLNL,ChARGe,70e74c60151556c7c53a24a7733220a8c78b5574,Own_Extracted_Dataset.xlsx
195,vitali87,code-graph-rag,806ae20ce2579a06aa04436f67a02999d4a9dbcb,Own_Extracted_Dataset.xlsx
196,helallao,perplexity-ai,fc03a22f8fbb1d33efb1ce419f88f3eec939bd3c,Own_Extracted_Dataset.xlsx
197,DougHaber,lair,ba05d7196a202b80edacb91d921792e2641bfb35,Own_Extracted_Dataset.xlsx
198,MLNeurosurg,neurovfm,98e4bb3c2faf714c82c650cea3b34bbc27b3f5c3,Own_Extracted_Dataset.xlsx
199,DEV-MAT1996,LLM,af21355b5b696c15a4c1dae940d108b2cfb62111,Own_Extracted_Dataset.xlsx
200,double16,shyhurricane,d35395d9f6084de38fc1e15a434eb4eecd81d881,Own_Extracted_Dataset.xlsx
201,lesleslie,acb,c52a658988732b19099bba8884386648c2c74233,Own_Extracted_Dataset.xlsx
202,intertwine,kimi-book-writer,c22231f743d707bcb47e0ef38508dc7a4e6384e8,Own_Extracted_Dataset.xlsx
203,RayBytes,ChatMock,22fcc4d1039221163f8601d24bbe6350a960a717,Own_Extracted_Dataset.xlsx
204,ServiceNow,GroundCUA,a28e03bcd7f2cb6769a5554a348c938a512cf674,Own_Extracted_Dataset.xlsx
205,TAO-STAR425,LLMs-from-scratch,236a68c2f0e571a6abd861cd6c9b1d686d04f1e1,Own_Extracted_Dataset.xlsx
206,Kit4Some,Sapiens_Ontology,faa53df1838241f27565b9c5add3ad66b1637e2d,Own_Extracted_Dataset.xlsx
