project_id,files_touched,rules_touched,occurrences
amauryfischer__Auto-GPT-WebUI__cea68df18f309b094912bdaa6ce2cd484dca5a13,1,1,2
amir84ferdos__ComfyUI-ArchAi3d-Qwen__5d3012c0b2a9618c2242a5cbbd9ab77979914716,1,3,5
arc53__DocsGPT__744d4ebbaf4349444d8d361593c4c04652c6c54b,2,4,11
ariannamethod__ariannamethod__de35fe338db13d1abeae51e3f4c43a9343bccf1a,14,5,76
axolotl-ai-cloud__axolotl__3750d7dd64a2c0699d5009392d85de525f7414c6,21,1,33
be2rlab__km-vipe__04941f83d5fdd95676d935a55b6486418e6bbe7f,2,2,2
benjaminearlevans__Chatgpt-babyagi-plugin__771a5ba6e6b69c30020da7a139ccec868b4a3dc7,1,4,6
bentoml__OpenLLM__5725415eede5865ec6bcb454c4805bb689993c0c,1,4,4
bentoml__OpenLLM__main,1,4,4
bf-yang__ContextAgent__f4674bf2a1385ce829c6a7f2ea9c53871dd1a8ce,16,6,66
bghira__SimpleTuner__d189a49c212fb684a9c697267c636d2a5366e05d,6,2,12
bigscience-workshop__petals__main,1,1,1
bigsk1__voice-chat-ai__3368442f4115fff5f7f42e0c4a952c13f9b89e75,3,2,4
brendanhogan__2025_advent_of_small_ml__f6aacd728812835360057d6a93b910dd5eef9c3d,29,7,101
bytedance__Dolphin__fcbf0334a9eaea4265f9b8d5c952198fb6bdb915,1,1,1
bytedance__Sa2VA__f445521bd1dc74d33078b30762c6423dab876199,60,6,132
c121914yu__FastGPT__2ae8d43216d4e6fb739143c3cc12285fed048596,1,1,2
cambrian-mllm__cambrian-s__9b770e46ed09ff0245f6455b7e091e9ace8c22ee,11,5,20
camel-ai__camel__71d466d9d67d1d7230ebfa1be6db95f5c53e38d9,1,3,3
canivel__axiom-rl__5454e4d702196d0f8db9a35384ab0bc5b033369f,13,5,32
casinca__LLM-quest__a2c5328033a10391f7a92519b7daa69b020c44da,6,1,7
chasemetoyer__gameplay-vision-llm__2818584648e34264afe188035a7922bc86037821,6,1,7
chatchat-space__Langchain-Chatchat__bc7f01925fe49c622cf7d6e2540c03fd5a0679e1,18,6,67
chflame163__ComfyUI_LayerStyle_Advance__18435772d12ac59e98dfb2555ad380359c6efd9f,12,6,77
chflame163__ComfyUI_LayerStyle__ca07ce8edf8342abbe2485cbec88b239aac480e0,1,1,1
chidiwilliams__buzz__main,5,2,8
chinesewebman__doc-chatbot__d17caf9f0414bc7bc802774de1f13c5d746966fb,1,3,3
clp-research__clemcore__a8ad2967a65d239691c0313843e064ea57022983,10,5,28
codedog-ai__codedog__a1702a4ab933c7c071318e688a5a3b6948b423d0,1,1,3
collabora__gst-python-ml__02f2935d4e9757b21d302d8b6a3a9f6f76ba1eff,9,2,18
comet-ml__opik__main,25,6,235
confident-ai__deepeval__847e12c6f59aaf4b1ed5d908af9b7da7e1232263,53,6,371
cpacker__MemGPT__6e2c92e3abda617b9efc96c88b582195579717c8,1,3,9
dagthomas__comfyui_dagthomas__85b73e2be6d4bd8a58366a478020dcb4b070c131,25,7,137
damianomarsili__VALOR__cf2442b4485eada8fdade3ebc14040e300317486,31,7,80
danielcamposramos__Knowledge3D__274cf368b822e370903b7f97132e242a8c3c06c7,7,1,13
datalab-to__chandra__cba67c6d15160b80233a32507dfbcebcb9205765,1,4,4
daveshap__ChromaDB_Chatbot_Public__ad7df3a7391c07ab59298e48ac05c24c8698698b,1,2,2
deepsense-ai__ragbits__c8487b2e01cd72966062b99a68007b0d9cc49fda,2,4,5
deepset-ai__haystack__main,11,4,16
dmzoneill__jira-creator__861d47f6ebfe34a44e72b399df5e595b0611d487,1,4,12
docling-project__docling__150fe90728b1719b6a59e2ed058ec026d573d04b,1,1,2
dory111111__babyagi-streamlit__088aa7376c39d541543a3518df8bd5db46633f51,1,3,4
dotvignesh__PDFChat__bb46824b7835386d39f76cd0c70b427dc42997c9,1,2,4
douglas125__SelfTestingGAT_LLM__448b1a8eb6d0d93f5a950d84e3e3d8aaaa6ea794,13,3,18
dusty-nv__jetson-containers__bf3c8b0b94f09f5c353dd8b94badb76235d866e4,12,4,27
duyhominhnguyen__Exgra-Med__e9a3daaf912a82bccdc3bad26b9661325d47ea60,15,4,28
edik7333__Auto-GPT-llama-cpp__2b4bf189825c0abe28bf6f020b87921d82636d67,1,1,2
edrickdch__chat-pdf__bf5343fef116a360424245b1c154edc2bac07bfd,1,1,1
eole-nlp__eole__43101dc10808d28a359b1b6691a456df2fe8a527,3,1,4
eosphoros-ai__DB-GPT__1519df7f0179be0957008e75fd27eafb9d6890f1,1,1,8
eosphoros-ai__DB-GPT__4b52cfa670fcbb170ea0348e187d4c26e28b0c2b,13,6,29
epam__ai-dial-adapter-bedrock__b110bd99865c13f30f3b2827325f3445bfacbda5,3,6,30
